 64 55 
130 62 0 
521 57 37 
260 62 52 
65 65 34 
326 41 0 
391 62 0 
65 57 0 
195 46 71 
326 41 43 
456 62 54 
260 53 40 
195 53 0 
65 24 0 
260 64 62 
65 64 0 
911 65 0 
1042 34 32 
65 64 0 
195 64 56 
130 64 0 
326 34 0 
716 69 58 
0 65 41 
781 53 53 
456 39 51 
130 53 0 
195 36 0 
716 67 0 
521 41 0 
260 60 44 
195 61 54 
5599 63 0 
5599 63 54 
1237 65 0 
1237 67 71 
521 63 0 
2018 63 0 
1237 70 66 
1693 70 0 
1888 74 63 
326 62 51 
3060 74 0 
2995 74 70 
586 62 0 
2409 74 0 
6576 70 57 
1823 70 0 
1432 74 74 
2018 74 0 
5664 67 55 
1302 72 56 
846 60 40 
65 72 0 
195 65 44 
7812 67 0 
7682 70 0 
2018 68 63 
2344 65 0 
260 69 0 
326 60 0 
0 65 57 
260 72 69 
911 60 52 
0 57 57 
2148 69 0 
0 65 0 
391 70 67 
521 58 0 
716 74 0 
326 53 0 
65 72 0 
586 72 0 
651 63 81 
130 67 72 
911 67 0 
456 63 0 
716 70 0 
0 79 73 
651 63 69 
846 70 76 
326 67 64 
521 58 0 
0 69 0 
911 67 0 
586 75 0 
130 72 76 
195 67 62 
0 60 0 
456 74 84 
0 77 0 
1042 72 0 
5404 70 82 
651 70 0 
521 60 79 
65 75 87 
195 75 0 
1693 72 0 
4557 60 0 
651 46 43 
456 72 74 
2214 68 25 
2604 70 46 
326 67 41 
391 55 41 
716 68 0 
130 50 58 
911 52 44 
781 53 0 
130 55 0 
0 70 0 
5859 65 0 
5924 76 0 
2799 73 61 
521 63 45 
65 75 57 
1562 75 0 
1628 70 65 
521 63 0 
65 70 0 
716 58 47 
195 49 38 
65 51 41 
130 74 51 
521 70 0 
456 56 0 
260 71 0 
586 51 0 
65 51 0 
521 81 56 
781 41 58 
1953 72 39 
911 29 0 
1693 29 41 
1888 41 0 
2409 70 0 
2018 77 0 
716 77 56 
651 77 0 
65 74 49 
1497 74 0 
7031 74 59 
716 65 38 
1172 62 40 
0 65 0 
6380 62 0 
651 58 64 
260 64 43 
2148 53 0 
456 62 53 
391 62 0 
2539 74 66 
1562 74 0 
911 62 0 
1888 72 66 
1237 58 0 
2734 74 0 
65 70 58 
2734 70 0 
651 76 50 
65 49 17 
1628 56 36 
195 61 51 
3190 61 0 
1302 73 0 
716 56 0 
326 52 46 
1302 42 55 
911 52 0 
65 78 90 
456 78 79 
391 40 0 
260 52 55 
846 78 0 
1367 78 76 
651 78 0 
651 79 73 
65 42 0 
1693 86 76 
977 54 0 
456 58 43 
65 55 0 
260 53 0 
0 84 70 
456 87 0 
911 76 62 
586 75 57 
260 75 0 
781 72 0 
1237 86 0 
2083 72 51 
2539 74 0 
2018 80 67 
1107 78 78 
1953 78 0 
781 72 0 
911 80 0 
0 70 72 
586 70 0 
521 80 69 
260 79 86 
391 66 64 
456 66 0 
391 70 0 
0 77 70 
326 75 52 
130 69 37 
260 73 0 
1628 69 0 
911 75 0 
911 87 75 
911 87 0 
1237 80 58 
260 62 40 
1562 68 0 
586 51 84 
0 80 70 
195 80 0 
260 82 0 
391 80 82 
260 68 77 
195 80 0 
326 65 0 
65 68 61 
65 70 69 
195 51 52 
0 72 0 
65 51 0 
1237 68 0 
3190 61 0 
326 43 68 
586 69 65 
781 53 23 
846 69 0 
130 70 0 
521 48 0 
0 57 0 
2734 74 75 
195 62 44 
2409 62 0 
1172 74 0 
1758 72 55 
9245 72 0 
3060 79 66 
6771 74 30 
521 62 50 
130 67 25 
2344 67 46 
521 67 0 
65 64 0 
130 67 0 
195 72 0 
260 67 54 
586 74 60 
846 67 0 
195 64 49 
391 64 0 
391 61 44 
260 67 28 
130 78 46 
521 73 0 
326 73 67 
195 73 0 
1042 66 0 
1107 61 0 
2
