 45 39 
8138 77 0 
5729 77 69 
326 43 0 
586 53 39 
1562 74 47 
65 48 37 
195 45 0 
521 65 36 
586 65 0 
391 53 0 
1823 74 0 
1823 77 0 
326 45 54 
716 81 75 
716 43 0 
911 81 0 
326 57 56 
651 51 67 
3255 51 0 
195 45 94 
521 45 0 
4557 43 63 
1237 55 62 
130 53 70 
260 58 81 
130 52 0 
1042 58 0 
911 43 0 
846 57 0 
130 50 62 
586 58 73 
0 62 71 
911 53 0 
195 50 0 
391 62 0 
456 64 77 
716 54 60 
3190 52 0 
1823 62 49 
651 62 0 
846 55 0 
586 52 56 
260 64 0 
911 49 54 
977 59 49 
65 49 38 
326 50 0 
1693 54 0 
1107 58 56 
586 55 0 
260 49 0 
195 58 57 
65 58 0 
65 63 44 
456 65 47 
586 63 0 
716 68 66 
846 53 35 
2669 57 40 
586 58 38 
3776 51 0 
521 70 47 
195 62 49 
1693 53 0 
716 58 0 
65 69 0 
911 74 0 
326 65 53 
1693 70 0 
130 67 0 
326 57 42 
130 70 52 
391 69 43 
1367 65 0 
391 70 47 
586 70 0 
195 70 0 
456 70 56 
1107 65 0 
130 70 0 
10091 67 54 
456 71 53 
195 71 45 
195 62 30 
911 71 0 
326 53 19 
2279 62 0 
0 71 0 
260 73 43 
521 67 0 
65 73 0 
456 62 32 
130 70 63 
0 62 0 
65 70 0 
781 60 0 
260 75 68 
911 51 46 
1237 51 0 
911 75 0 
586 51 42 
586 63 51 
781 48 51 
65 72 50 
391 69 45 
781 72 0 
391 53 38 
977 64 42 
1497 63 0 
1172 63 0 
260 67 0 
1302 63 59 
4232 57 43 
326 63 0 
586 72 55 
1432 60 38 
716 72 0 
130 60 0 
391 71 49 
65 48 0 
456 57 0 
586 48 21 
911 55 24 
0 72 49 
2148 50 0 
391 72 61 
130 55 0 
4102 72 0 
586 72 72 
1107 53 48 
8008 72 0 
391 50 47 
521 60 23 
456 60 0 
130 53 0 
651 79 49 
781 76 46 
326 77 0 
586 60 0 
586 64 31 
195 47 35 
326 46 37 
260 43 0 
11849 64 0 
1628 58 31 
326 46 0 
781 62 9 
260 62 0 
716 53 47 
716 58 0 
781 53 0 
911 77 66 
0 76 54 
586 76 0 
781 76 0 
391 58 53 
260 62 47 
456 58 0 
391 58 37 
195 62 0 
0 67 54 
4753 67 0 
195 74 66 
521 67 49 
326 79 65 
130 57 52 
195 74 0 
195 79 0 
0 55 0 
456 74 67 
65 67 0 
1758 74 0 
195 70 61 
260 46 55 
911 70 0 
1432 75 77 
2344 46 0 
1628 70 63 
2344 64 59 
1107 70 0 
260 67 60 
65 70 77 
1758 65 48 
586 73 0 
2083 67 0 
1042 72 74 
977 70 0 
65 74 76 
651 67 0 
65 73 0 
781 65 51 
651 80 83 
130 70 0 
521 82 0 
65 73 0 
65 67 0 
260 62 47 
0 65 0 
65 60 48 
2083 62 0 
0 62 59 
195 62 0 
977 70 0 
651 74 55 
260 74 0 
326 83 68 
260 77 50 
5859 84 61 
0 85 0 
1042 77 0 
651 77 0 
651 68 45 
456 60 51 
1172 68 0 
65 75 47 
195 70 47 
195 72 0 
911 87 81 
977 72 54 
0 57 55 
586 79 61 
0 79 49 
65 79 0 
391 57 0 
781 75 0 
586 79 0 
911 63 0 
1172 70 0 
846 82 0 
8008 84 0 
586 92 87 
195 72 0 
0 84 86 
456 93 90 
65 92 38 
195 98 77 
130 72 71 
977 79 0 
260 93 69 
326 94 0 
716 94 0 
651 72 0 
195 70 0 
195 91 0 
1302 89 76 
456 63 50 
651 94 59 
195 75 57 
521 50 0 
130 75 0 
2409 63 0 
195 56 52 
0 63 0 
521 75 0 
977 94 82 
326 56 0 
195 94 0 
260 54 79 
846 54 0 
3581 96 91 
1562 94 0 
1042 94 82 
3385 96 0 
260 91 85 
3776 91 0 
716 92 85 
2214 92 104 
521 73 77 
521 70 0 
1758 100 0 
65 86 0 
2214 83 69 
1628 54 19 
2539 59 0 
1562 59 0 
1628 61 55 
1823 90 85 
521 79 0 
586 62 0 
651 55 72 
781 55 0 
391 76 73 
456 71 67 
326 61 57 
260 78 0 
326 76 0 
326 61 0 
716 85 0 
2799 76 0 
521 88 82 
1237 71 54 
1497 71 0 
1888 83 0 
716 90 74 
1302 90 0 
4948 71 62 
260 49 68 
1823 52 57 
2604 54 0 
1237 40 0 
1628 71 0 
846 47 48 
1237 55 57 
7799 47 0 
911 55 0 
716 52 42 
1237 52 0 
2214 45 67 
195 76 64 
130 73 54 
1823 49 49 
2865 76 0 
521 79 0 
456 73 0 
130 77 65 
391 49 0 
651 73 0 
456 73 69 
130 45 50 
326 45 0 
846 73 0 
0 69 66 
195 73 72 
3451 69 0 
1628 73 0 
846 79 70 
4036 61 67 
391 45 51 
846 69 0 
977 45 0 
260 73 73 
2214 73 0 
260 76 0 
781 79 61 
911 79 0 
911 79 73 
2214 79 0 
911 79 65 
1172 33 59 
521 33 0 
195 79 0 
911 85 69 
1367 85 0 
391 86 67 
2539 86 0 
651 80 71 
1823 80 0 
2604 85 58 
195 63 54 
586 81 52 
130 81 0 
521 79 47 
195 75 46 
0 70 59 
456 87 61 
456 75 0 
260 79 0 
195 70 0 
0 75 0 
326 77 0 
1497 87 0 
130 84 74 
391 76 71 
586 74 68 
130 74 0 
326 82 0 
3320 36 37 
5404 36 0 
1497 74 64 
2930 77 0 
391 76 69 
326 33 65 
0 36 57 
716 35 37 
1107 76 0 
130 36 0 
391 33 0 
391 45 0 
326 75 0 
3711 74 27 
456 74 0 
781 30 30 
130 30 34 
2018 76 46 
521 34 0 
0 30 36 
1302 88 0 
586 42 36 
260 30 0 
456 30 0 
130 42 0 
3060 83 3 
130 88 35 
456 90 51 
14774 76 0 
326 90 0 
456 88 49 
65 78 0 
716 78 24 
3776 86 37 
11719 71 54 
2669 55 41 
2539 59 0 
65 78 0 
1823 51 54 
977 59 39 
521 80 0 
4557 70 45 
4102 54 0 
6576 51 34 
2474 82 29 
1432 70 33 
586 70 21 
1042 70 0 
456 63 29 
195 58 0 
911 39 0 
195 63 0 
65 63 46 
846 60 37 
456 49 32 
1042 66 0 
2018 75 0 
391 68 42 
1172 74 40 
911 46 0 
65 70 0 
1758 53 24 
326 50 27 
195 65 34 
521 70 0 
195 72 49 
0 77 0 
1823 51 0 
130 58 0 
1628 77 17 
130 57 42 
2669 65 0 
1628 53 0 
2018 65 0 
2995 79 0 
1628 75 0 
26428 63 34 
911 75 23 
11589 63 0 
781 87 41 
2734 75 0 
1953 78 41 
2474 75 0 
1562 76 33 
651 73 28 
1562 85 0 
1758 73 0 
130 71 0 
8659 73 48 
781 85 0 
651 64 36 
65 64 0 
586 71 0 
2148 82 65 
1562 63 48 
846 58 32 
1628 47 33 
195 70 0 
0 70 34 
586 58 0 
130 68 0 
0 49 0 
195 75 57 
521 78 0 
911 73 0 
326 66 53 
130 63 56 
5273 75 0 
1237 66 0 
651 75 65 
456 66 14 
521 71 46 
326 75 0 
195 71 0 
2083 71 53 
4753 66 0 
586 75 0 
13281 68 49 
2148 59 0 
846 68 0 
4297 75 65 
326 58 54 
781 77 48 
65 53 34 
846 58 0 
846 73 0 
260 79 0 
716 74 55 
65 77 0 
781 75 0 
4427 74 65 
2344 74 0 
456 77 60 
326 74 61 
130 68 71 
0 74 49 
391 74 0 
195 74 60 
195 76 0 
65 75 0 
326 68 0 
716 77 0 
0 68 57 
130 65 52 
130 80 63 
130 57 48 
65 62 36 
651 74 0 
130 68 0 
521 65 0 
195 62 0 
195 56 0 
2995 63 71 
4232 63 0 
846 61 56 
4948 72 75 
326 61 0 
3125 71 60 
195 68 63 
4167 72 0 
1562 68 0 
2865 71 0 
260 64 49 
586 65 70 
5208 73 61 
651 71 0 
65 64 0 
1042 65 0 
3451 82 66 
260 77 63 
716 86 49 
130 76 0 
911 80 0 
586 89 0 
977 86 75 
586 86 0 
0 64 55 
521 76 0 
1562 64 0 
4297 66 64 
5859 64 45 
260 73 68 
260 66 0 
0 64 0 
195 73 0 
456 60 48 
2409 64 47 
521 62 0 
326 55 52 
781 73 64 
456 70 66 
781 61 0 
456 61 55 
260 61 0 
0 58 0 
0 70 78 
456 59 49 
651 59 0 
716 70 0 
911 40 43 
0 59 57 
911 73 76 
130 63 51 
65 49 54 
2734 63 0 
260 51 0 
0 71 0 
326 49 0 
130 41 0 
28516 56 48 
911 73 88 
195 73 0 
846 53 0 
391 71 62 
1237 51 65 
651 47 63 
521 75 75 
716 63 52 
586 61 39 
846 59 0 
0 80 81 
195 49 0 
0 51 0 
521 51 62 
8148 52 72 
260 51 0 
3060 68 0 
911 75 0 
260 69 83 
2148 51 0 
3841 54 74 
651 43 47 
2344 45 0 
14453 55 0 
3125 75 29 
12826 75 0 
251453 69 42 
326 72 39 
14774 66 59 
0 76 66 
12826 72 63 
2083 66 0 
1628 74 0 
6380 76 67 
1693 69 0 
1758 78 0 
7096 76 78 
9049 76 0 
6380 68 53 
2865 71 63 
3711 71 0 
5534 68 0 
260 53 64 
130 70 78 
326 58 0 
651 50 51 
260 74 70 
326 65 56 
260 45 56 
1562 74 0 
65 53 0 
391 41 0 
260 74 0 
65 69 0 
521 72 0 
65 44 94 
586 76 95 
326 34 78 
1758 46 0 
0 34 0 
716 72 0 
521 72 88 
521 60 79 
456 72 0 
65 48 63 
0 72 71 
130 60 0 
716 67 64 
586 76 0 
781 72 0 
260 55 3 
651 67 0 
65 72 0 
456 55 0 
326 34 0 
5143 79 78 
0 53 69 
0 64 68 
326 76 76 
326 46 61 
651 52 0 
195 56 45 
586 64 0 
195 74 0 
911 58 0 
0 64 76 
911 86 98 
65 54 72 
130 55 0 
716 76 0 
130 89 87 
326 76 73 
0 88 0 
130 65 59 
586 62 0 
195 77 0 
846 64 0 
0 74 47 
0 77 0 
651 62 62 
781 74 88 
260 62 0 
326 54 84 
651 62 69 
130 50 65 
1562 54 0 
0 62 0 
0 50 0 
456 74 0 
65 71 86 
260 69 75 
260 45 71 
130 47 59 
391 67 52 
130 61 23 
521 69 0 
521 71 0 
2865 69 0 
521 35 0 
846 47 0 
586 77 69 
260 76 0 
3971 76 67 
911 77 0 
391 76 0 
911 79 60 
65 77 0 
4818 45 65 
1758 53 51 
1042 77 85 
326 77 0 
1172 45 0 
260 53 0 
716 75 112 
195 45 94 
130 33 89 
4297 73 92 
195 34 83 
326 43 96 
0 79 82 
651 79 0 
130 25 88 
65 34 0 
65 48 26 
326 77 0 
130 48 0 
326 47 0 
260 39 0 
195 73 0 
456 75 11 
521 75 0 
1497 63 86 
65 51 0 
781 82 
